Release Year,Origin/Ethnicity,Director,Cast
1941,American,Raoul Walsh,"Errol Flynn, Olivia de Havilland"
1941,American,Jack Hively,"Maureen O'Hara, James Ellison"
1941,American,Clarence Brown,"Clark Gable, Rosalind Russell, Peter Lorre"
1941,American,Frank Lloyd,"Franchot Tone, Carol Bruce, Nigel Bruce"
1941,American,Leigh Jason,"Joan Blondell, Janet Blair"
1941,American,Albert S. Rogell,"John Howard, Broderick Crawford"
1941,American,,"Donald Duck, Peg Leg Pete"
1941,American,Sidney Salkow,"Rudy Vallée, Ann Miller, Three Stooges"
1941,American,Garson Kanin,"Ginger Rogers, George Murphy"
1941,American,Tex Avery,"Bugs Bunny, Cecil Turtle"
1941,American,Robert Z. Leonard,"Laraine Day, Robert Young"
1941,American,George Cukor,Greta Garbo
1941,American,Howard Railsback,"Gale Storm, ZaSu Pitts"
1941,American,Edward Dmytryk,"Nan Grey, Mary Anderson"
1941,American,Gregory La Cava,"Irene Dunne, Robert Montgomery"
1941,American,Edward H. Griffith,"Madeleine Carroll, Fred MacMurray, Sterling Hayden"
1941,American,,Bugs Bunny
1941,American,Ray Enright,"Humphrey Bogart, Eddie Albert, Joan Leslie, Sylvia Sidney"
1941,American,S. Sylvan Simon,"Ann Rutherford, Frank Morgan, Dan Dailey"
1941,American,William McGann,"Alan Curtis, Lynn Bari"
1941,American,Fritz Lang,"Randolph Scott, Robert Young"
1941,American,James Horne,"Buck Jones, Dorothy Fay"
1941,American,John Brahm,"Henry Fonda, Joan Bennett"
1941,American,George Waggner,"Lon Chaney, Jr., Claude Rains, Ralph Bellamy, Bela Lugosi, Maria Ouspenskaya"
1941,American,George Cukor,"Joan Crawford, Melvyn Douglas, Conrad Veidt"
1941,American,Henry King,"Tyrone Power, Betty Grable"
1941,American,Wesley Ruggles,"Barbara Stanwyck, Henry Fonda, Ruth Donnelly"
1941,American,Sidney Lanfield,"Fred Astaire, Rita Hayworth, Robert Benchley"
1942,American,Alfred L. Werker,"Stan Laurel, Oliver Hardy, Dante the Magician"
1942,American,John Huston,"Humphrey Bogart, Mary Astor, Sydney Greenstreet, Charles Halton"
1942,American,Sidney Salkow,"Glenn Ford, Claire Trevor"
1942,American,"Lewis Collins, Ray Taylor","Tom Brown, Rose Hobart, Marjorie Lord"
1942,American,Bernard Vorhaus,"Dennis O'Keefe, Ruth Terry"
1942,American,Jules Dassin,"Marsha Hunt, Richard Carlson"
1942,American,Lew Landers,"Chester Morris, Adele Mara, George E. Stone"
1942,American,Jo Graham,"Kay Francis, Walter Huston"
1942,American,William C. McGann,"Richard Dix, Leo Carrillo, Preston Foster, Frances Gifford"
1942,American,George B. Seitz,"Lewis Stone, Mickey Rooney, Fay Holden"
1942,American,Richard Thorpe,"Lloyd Nolan, Donna Reed, Ann Ayars"
1942,American,John Rawlins,"Maria Montez, Jon Hall, Sabu, Leif Erickson, Billy Gilbert, Turhan Bey, Shemp Howard"
1942,American,A. Edward Sutherland,"Jane Wyatt, James Ellison"
1942,American,David Hand,
1942,American,Malcolm St. Clair,"Lum and Abner, ZaSu Pitts"
1942,American,John Ford,
1942,American,William Morgan,"Gene Autry, Virginia Grey"
1942,American,Alfred Santell,"Dorothy Lamour, Richard Denning, Patricia Morison"
1942,American,Irving Reis,"Henry Fonda, Lucille Ball, Barton MacLane"
1942,American,Sam Newfield,"Buster Crabbe, Anne Jeffreys"
1942,American,William Nigh,Bela Lugosi
1942,American,Henry King,"Tyrone Power, Maureen O'Hara"
1942,American,Frank Strayer,"Penny Singleton, Arthur Lake, Janet Blair"
1942,American,Joseph H. Lewis,"Anna May Wong, Noel Madison"
1942,American,Lew Landers,"Boris Karloff, Peter Lorre"
1942,American,Edward Ludwig,"Virginia Weidler, Douglas McPhail"
1942,American,Michael Gordon,"Chester Morris, Constance Worth"
1942,American,Wallace Fox,"Bela Lugosi, John Archer"
1942,American,Hanna Barbera,
1942,American,William A. Seiter,"George Raft, Pat O'Brien, Janet Blair"
1942,American,Kurt Neumann,"William Bendix, Grace Bradley"
1942,American,S. Sylvan Simon,"Wallace Beery, Marjorie Main, Donna Reed"
1942,American,Robert Clampett,
1942,American,D. Ross Lederman,"Richard Travis, Julie Bishop, Eleanor Parker"
1942,American,W. S. Van Dyke,"Jeanette MacDonald, Robert Young"
1942,American,Harold S. Bucquet,"Lionel Barrymore, Donna Reed"
1942,American,Frank Ryan,"Victor McLaglen, Edmund Lowe, Binnie Barnes"
1942,American,Michael Curtiz,"James Cagney, Dennis Morgan"
1942,American,Oliver Garrett,"Virginia Bruce, James Ellison"
1942,American,Michael Curtiz,"Humphrey Bogart, Ingrid Bergman, Claude Rains, Paul Henreid, Dooley Wilson, Peter Lorre"
1942,American,Harry Lachman,"Sidney Toler, Arleen Whelan"
1942,American,Jacques Tourneur,"Simone Simon, Kent Smith, Jane Randolph"
1942,American,Henry Hathaway,"Gene Tierney, George Montgomery"
1942,American,John Farrow,"Paul Muni, Anna Lee, Lillian Gish"
1942,American,Wallace Fox,"Bela Lugosi, Luana Walters"
1942,American,Edward Dmytryk,"Warren William, Forrest Tucker"
1942,American,George B. Seitz,"Lewis Stone, Mickey Rooney, Cecilia Parker, Donna Reed"
1942,American,William Morgan,"Gene Autry, Fay McKenzie"
1942,American,Jack Conway,"William Powell, Hedy Lamarr, Claire Trevor"
1942,American,Lewis Collins,"Don Terry, Louise Allbritton"
1942,American,Irving Reis,"George Sanders, Wendy Barrie"
1942,American,Howard Bretherton,"Buck Jones, Mona Barrie"
1942,American,Raoul Walsh,"Errol Flynn, Ronald Reagan"
1942,American,Hanna Barbera,
1942,American,Ray Taylor,Don Terry
1942,American,,Donald Duck
1942,American,,
1942,American,Anthony Mann,"Macdonald Carey, Jean Phillips"
1942,American,Willis Goldbeck,"Lionel Barrymore, Van Johnson"
1942,American,W. S. Van Dyke,"Lew Ayres, Ann Ayars"
1942,American,Harry Lachman,"J. Carrol Naish, George Zucco"
1942,American,Arthur Lubin,"Robert Stack, Diana Barrymore"
1942,American,Fred Zinnemann,"Edward Arnold, Ann Harding"
1942,American,Stanley Logan,"George Sanders, Tom Conway"
1942,American,Hanna Barbera,Tom and Jerry
1942,American,Charles Lederer,"Lew Ayres, Laraine Day"
1942,American,Sidney Salkow,"Pat O'Brien, Glenn Ford"
1942,American,David Miller,John Wayne
1942,American,Gregory Ratoff,"Betty Grable, Victor Mature"
1942,American,George Marshall,"Fred MacMurray, Susan Hayward, Paulette Goddard"
1942,American,Busby Berkeley,"Judy Garland, Gene Kelly"
1942,American,Hanna Barbera,Tom and Jerry
1942,American,Jean Yarbrough,"Gale Storm, Johnny Downs"
1942,American,I. Freleng,
1942,American,Allan Dwan,"Charles Winninger, Charles Ruggles"
1942,American,"Noel M. Smith, Ray Taylor","Kent Taylor, Irene Hervey"
1942,American,Irving Rapper,"Barbara Stanwyck, George Brent, Geraldine Fitzgerald"
1942,American,Edwin L. Marin,"Miriam Hopkins, Brian Donlevy"
1942,American,Ray McCarey,"Carole Landis, Milton Berle"
1942,American,Raoul Walsh,Errol Flynn
1942,American,William Keighley,"Jack Benny, Ann Sheridan, Charles Coburn"
1942,American,Charles Lamont,"Donald O'Connor, Peggy Ryan"
1942,American,Erle C. Kenton,"Lon Chaney, Jr., Cedric Hardwicke, Ralph Bellamy"
1942,American,Harold D. Schuster,"Don Ameche, Joan Bennett"
1942,American,Stuart Heisler,"Alan Ladd, Veronica Lake, Brian Donlevy, William Bendix"
1942,American,S. Sylvan Simon,"Van Heflin, Cecilia Parker"
1942,American,William A. Wellman,"Barbara Stanwyck, Joel McCrea, Brian Donlevy"
1942,American,John Rawlins,"Ralph Bellamy, Evelyn Ankers"
1942,American,William Morgan,"Gene Autry, Fay McKenzie"
1942,American,George Cukor,"Norma Shearer, Robert Taylor, George Sanders"
1942,American,Allan Dwan,"Jim Jordan, Marian Jordan, Edgar Bergen"
1942,American,Benjamin Stoloff,"Craig Stevens, Elisabeth Fraser"
1942,American,Mark Sandrich,"Bing Crosby, Fred Astaire, Marjorie Reynolds, Virginia Dale"
1942,American,William Morgan,"Gene Autry, Fay McKenzie"
1942,American,Sam White,"Chester Morris, Jean Parker"
1942,American,René Clair,"Veronica Lake, Fredric March"
1942,American,John Huston,"Bette Davis, Olivia de Havilland"
1942,American,Edwin L. Marin,"Ilona Massey, Jon Hall"
1942,American,Robert Stevenson,"Michele Morgan, Paul Henreid"
1942,American,Richard Thorpe,"Robert Young, Marsha Hunt"
1942,American,John H. Auer,"Jane Withers, Ruth Donnelly"
1942,American,Mervyn LeRoy,"Robert Taylor, Lana Turner"
1942,American,W.S. Van Dyke,"Robert Young, Laraine Day, Fay Bainter"
1942,American,Curtis Bernhardt,"Ann Sheridan, Ronald Reagan"
1942,American,Zoltan Korda,Sabu
1942,American,,"Dead End Kids, Little Tough Guys"
1942,American,Herbert I. Leeds,"Lloyd Nolan, Marjorie Weaver, Phil Silvers"
1942,American,Fred Zinnemann,"Van Heflin, Marsha Hunt"
1942,American,William Witney,"Allan Lane, Peggy Drake"
1942,American,Sam Wood,"Ann Sheridan, Ronald Reagan, Robert Cummings"
1942,American,Leigh Jason,"John Wayne, Joan Blondell"
1942,American,Robert Florey,"Faye Emerson, Julie Bishop"
1942,American,Sidney Lanfield,"Paulette Goddard, Ray Milland"
1942,American,Gregory LaCava,"Irene Dunne, Ralph Bellamy"
1942,American,Mitchell Leisen,"Marlene Dietrich, Fred MacMurray"
1942,American,Lloyd Bacon,"Edward G. Robinson, Jane Wyman, Broderick Crawford"
1942,American,Jean Yarbrough,Arline Judge
1942,American,Wallace Fox,East Side Kids
1942,American,Irving Pichel,"Ida Lupino, Monty Woolley"
1942,American,William Beaudine,"James Dunn, Joan Woodbury"
1942,American,William Beaudine,"Mantan Moreland, F.E. Miller"
1942,American,Sam Newfield,"George Zucco, Anne Nagel"
1942,American,Orson Welles,"Joseph Cotten, Anne Baxter, Dolores Costello, Agnes Moorehead, Tim Holt"
1942,American,Walter Lang,"Henry Fonda, Don Ameche"
1942,American,Billy Wilder,"Ginger Rogers, Ray Milland"
1942,American,Elliott Nugent,"Henry Fonda, Olivia de Havilland"
1942,American,William Keighley,"Monty Woolley, Bette Davis, Ann Sheridan, Billie Burke, Mary Wickes, Jimmy Durante"
1942,American,Lew Landers,"Lucile Fairbanks, John Howard"
1942,American,Phil Rosen,"Edward Norris, Marlo Dwyer"
1942,American,Herbert I. Leeds,"Carole Landis, Cornel Wilde"
1942,American,Ray Enright,"Robert Stack, Jackie Cooper, Broderick Crawford"
1942,American,Leslie Goodwins,"Lupe Velez, Leon Errol"
1942,American,Edwin L. Marin,"Shirley Temple, Dickie Moore, Guy Kibbee"
1942,American,Anthony Mann,"Allan Jones, Jane Frazee, Marjorie Lord"
1942,American,John H. Auer,"Dennis O'Keefe, Jane Frazee"
1942,American,Albert Lewin,"George Sanders, Herbert Marshall, Elena Verdugo"
1942,American,Archie Mayo,"Jean Gabin, Ida Lupino, Claude Rains"
1942,American,William Wyler,"Greer Garson, Walter Pidgeon, Teresa Wright"
1942,American,Harold Young,"Lon Chaney, Jr., Dick Foran"
1942,American,B. Reeves Eason,"Van Johnson, Faye Emerson"
1942,American,Sidney Lanfield,"Bob Hope, Madeleine Carroll"
1942,American,,Porky Pig and Daffy Duck
1942,American,Irving Cummings,"Rita Hayworth, Victor Mature, Carole Landis, Phil Silvers"
1942,American,Phil Rosen,"Maria Montez, Patric Knowles"
1942,American,A. Edward Sutherland,"Pat O'Brien, George Murphy, Jane Wyatt"
1942,American,Jules Dassin,"Conrad Veidt, Ann Ayars, Frank Reicher"
1942,American,Wallace Fox,"East Side Kids, Ann Gillis"
1942,American,William Clemens,"Patricia Morison, Preston Foster"
1942,American,Ralph Murphy,Robert Preston
1942,American,Richard Wallace,"Loretta Young, Brian Aherne"
1942,American,Tim Whelan,"Diana Barrymore, Brian Donlevy"
1942,American,Joseph M. Newman,"William Lundigan, Patricia Dane"
1942,American,Irving Rapper,"Bette Davis, Paul Henreid, Claude Rains, Gladys Cooper"
1942,American,Richard Wallace,"Joan Carroll, Ruth Warrick"
1942,American,Leo McCarey,"Cary Grant, Ginger Rogers"
1942,American,William Beaudine,"Wanda McKay, John Beal"
1942,American,Harold D. Schuster,"Roddy McDowall, Jane Darwell"
1942,American,Ford Beebe,"Noah Beery, Jr., Don Terry"
1942,American,Preston Sturges,"Claudette Colbert, Joel McCrea, Mary Astor, Rudy Vallée"
1942,American,Charles Barton,Marguerite Chapman
1942,American,Erle C. Kenton,Abbott and Costello
1942,American,Edwin L. Marin,"Basil Rathbone, Randolph Scott, Elisabeth Bergner"
1942,American,Arthur Dreifuss,"Lee Tracy, Tom Brown"
1942,American,William Witney,Kay Aldridge
1942,American,George Seitz,"Ruth Hussey, Bruce Cabot, Reginald Owen, Evelyn Ankers"
1942,American,Lewis Seiler,"John Wayne, Marlene Dietrich, Randolph Scott"
1942,American,Rowland V. Lee,"Edmond O'Brien, Victor McLaglen, June Havoc"
1942,American,Frank Capra,
1942,American,Edward Cline,"The Andrews Sisters, Harry James, Joe E. Lewis"
1942,American,"William Hanna, Joseph Barbera",
1942,American,Mervyn LeRoy,"Ronald Colman, Greer Garson"
1942,American,Cecil B. DeMille,"John Wayne, Paulette Goddard, Ray Milland"
1942,American,Stuart Heisler,"William Holden, Brian Donlevy, Ellen Drew"
1942,American,Jules Dassin,"Joan Crawford, John Wayne, Philip Dorn"
1942,American,Arthur Lubin,Abbott and Costello
1942,American,Eugene Forde,"Brenda Joyce, Stanley Clements"
1942,American,Rouben Mamoulian,"Henry Fonda, Gene Tierney"
1942,American,S. Sylvan Simon,Abbott and Costello
1942,American,Phil Rosen,"John Boles, Mona Barrie"
1942,American,David Butler,"Bing Crosby, Bob Hope, Dorothy Lamour"
1942,American,William A. Wellman,Ginger Rogers
1942,American,Harold Young,"Rochelle Hudson, Ricardo Cortez"
1942,American,Alfred Hitchcock,"Robert Cummings, Priscilla Lane, Norman Lloyd"
1942,American,Tim Whelan,"Lucille Ball, Victor Mature"
1942,American,Frank Borzage,"Kathryn Grayson, Marsha Hunt"
1942,American,"Otto Brower, John Ford","George Reeves, Richard Derr"
1942,American,John Rawlins,"Basil Rathbone, Nigel Bruce"
1942,American,Edward Buzzell,"Eleanor Powell, Red Skelton"
1942,American,Wesley Ruggles,"Clark Gable, Lana Turner"
1942,American,John Cromwell,"Tyrone Power, Gene Tierney"
1942,American,Walter Lang,"Betty Grable, Victor Mature, Jack Oakie"
1942,American,Jean Yarbrough,"ZaSu Pitts, Roger Pryor"
1942,American,Ray Enright,"John Wayne, Marlene Dietrich, Randolph Scott"
1942,American,Irving Cummings,"Betty Grable, John Payne, Cesar Romero"
1942,American,William Witney,"Kane Richmond, Marguerite Chapman"
1942,American,Chuck Jones,
1942,American,Robert Z. Leonard,"Robert Taylor, Walter Brennan, Charles Laughton"
1942,American,George Marshall,"Betty Hutton, Eddie Bracken, Victor Moore"
1942,American,William Nigh,"Lionel Atwill, Anne Gwynne"
1942,American,Jack Hively,"Burgess Meredith, Claire Trevor"
1942,American,James Tinling,"John Kimbrough, Arleen Whelan, Virginia Gilmore"
1942,American,William Clemens,"Eddie Bracken, June Preisser"
1942,American,Mitchell Leisen,"Rosalind Russell, Fred MacMurray"
1942,American,Julien Duvivier,"Charles Boyer, Rita Hayworth, Ginger Rogers, Henry Fonda, Charles Laughton, Edward G. Robinson, Paul Robeson"
1942,American,George Stevens,"Cary Grant, Jean Arthur, Ronald Colman"
1942,American,Richard Thorpe,"Johnny Weissmuller, Maureen O'Sullivan"
1942,American,Henry Hathaway,"George Montgomery, Maureen O'Hara"
1942,American,William Dieterle,"Van Heflin, Lionel Barrymore"
1942,American,Harold Young,"Hugh Herbert, Peggy Moran"
1942,American,Alexander Hall,"Joan Crawford, Melvyn Douglas"
1942,American,Spencer Bennet,"Lyle Talbot, June Duprez"
1942,American,Anatole Litvak,"Tyrone Power, Joan Fontaine"
1942,American,Frank Tuttle,"Alan Ladd, Veronica Lake"
1942,American,Charles Reisner,"Ann Rutherford, Robert Sterling"
1942,American,William A. Wellman,"Gene Tierney, Preston Foster"
1942,American,Ernst Lubitsch,"Carole Lombard, Jack Benny"
1942,American,H. Bruce Humberstone,"Maureen O'Hara, John Payne"
1942,American,William McGann,"Richard Dix, Frances Gifford"
1942,American,Bernard Ray,"June Lang, Joyce Compton"
1942,American,Victor Fleming,"Spencer Tracy, Hedy Lamarr, John Garfield"
1942,American,Ray Taylor,"Eddie Albert, Peggy Moran"
1942,American,,
1942,American,Charles Vidor,"Charles Laughton, Jon Hall, Peggy Drake"
1942,American,Tim Whelan,"Joan Bennett, George Brent"
1942,American,John Brahm,James Ellison
1942,American,I. Freleng,
1942,American,John Farrow,"Brian Donlevy, Robert Preston"
1942,American,Harold Bucquet,"Fay Bainter, Edward Arnold"
1942,American,Louis de Rochemont,
1942,American,Robert Z. Leonard,"Norma Shearer, Melvyn Douglas"
1942,American,Robert Tansey,Tom Keene
1942,American,Howard Bretherton,"Charles Starrett, Marcella Martin"
1942,American,Edward F. Cline,"The Andrews Sisters, Jane Frazee, Gloria Jean"
1942,American,Richard Thorpe,"Hedy Lamarr, Walter Pidgeon, Richard Carlson"
1942,American,Erle C. Kenton,Abbott and Costello
1942,American,Ray Enright,"Constance Bennett, Bruce Cabot"
1942,American,Lloyd Bacon,"Ann Sheridan, Dennis Morgan"
1942,American,George Stevens,"Spencer Tracy, Katharine Hepburn"
1942,American,Arthur H. Wolf,
1942,American,Frank McDonald,"Jean Parker, Richard Arlen"
1942,American,George Sherman,"Dick Purcell, Anne Jeffreys"
1942,American,Michael Curtiz,"James Cagney, Joan Leslie, Walter Huston"
1942,American,Albert Herman,"Joan Woodbury, H.B. Warner"
1942,American,Alexis Thurn-Taxis,"Mary Healy, Henry King"
1942,American,Joseph Santley,"Joan Davis, Albert Dekker"
1942,American,William A. Seiter,"Fred Astaire, Rita Hayworth"
1942,American,Dan Gordon,Popeye cartoon
1942,American,Albert S. Rogell,"John Hubbard, Ruth Terry, Martha O'Driscoll"
1943,American,Richard Thorpe,"Joan Crawford, Fred MacMurray, Conrad Veidt"
1943,American,"Lloyd Bacon, Raoul Walsh","Humphrey Bogart, Raymond Massey, Alan Hale Sr."
1943,American,D. Ross Lederman,"Ruth Ford, John Loder"
1943,American,Leslie Goodwins,"Wally Brown, Alan Carney"
1943,American,"Lewis D. Collins, Ray Taylor","Tom Brown, Rose Hobart, Marjorie Lord, Keye Luke, Sidney Toler"
1943,American,"Lewis D. Collins, Ray Taylor","Johnny Downs, Eduardo Ciannelli"
1943,American,William H. Pine,"Chester Morris, Richard Arlen"
1943,American,Lew Landers,"Chester Morris, Ann Savage"
1943,American,Howard Hawks,"John Garfield, John Ridgely, Gig Young"
1943,American,Frank McDonald,"Jean Parker, Richard Arlen"
1943,American,William Beaudine,"Bela Lugosi, Louise Currie, Wallace Ford, Henry Hall"
1943,American,Allan Dwan,"Kay Kyser, Mischa Auer, Joan Davis"
1943,American,Hanna-Barbera,
1943,American,Jules White,The Three Stooges
1943,American,Raoul Walsh,"George Raft, Brenda Marshall, Sydney Greenstreet, Peter Lorre"
1943,American,Lesley Selander,"William Boyd, Andy Clyde, George Reeves, Robert Mitchum"
1943,American,Tay Garnett,"Robert Taylor, George Murphy, Lloyd Nolan"
1943,American,Lambert Hillyer,"Lewis Wilson, Douglas Croft, J. Carrol Naish, Shirley Patterson"
1943,American,Frank Capra,Narrated by Walter Huston
1943,American,Edward Buzzell,"Lucille Ball, June Allyson, Gloria DeHaven, Nancy Walker"
1943,American,Richard Wallace,"Pat O'Brien, Randolph Scott, Anne Shirley, Eddie Albert"
1943,American,Charles Fuhr,"George Montgomery, Annabella"
1943,American,Lesley Selander,"William Boyd, Andy Clyde, George Reeves, Robert Mitchum"
1943,American,Lesley Selander,"Richard Dix, Jane Wyatt, Lee J. Cobb"
1943,American,Anthony Marshall,"Ray ""Crash"" Corrigan, Julie Duncan"
1943,American,Vincente Minnelli,"Ethel Waters, Eddie ""Rochester"" Anderson, Lena Horne, Louis Armstrong"
1943,American,Reginald Le Borg,"Lon Chaney Jr., Patricia Morison"
1943,American,Edward Dmytryk,"John Carradine, Milburn Stone, Paula Dupree"
1943,American,William Castle,"Chester Morris, Erik Rolf, Jeanne Bates"
1943,American,Louis King,"Anna Sten, Philip Dorn"
